Time (s),Current (A)
1.39453125,-9.749783e-09
1.3955078125,-6.693881e-09
1.396484375,-1.076842e-08
1.3974609375,-3.637979e-09
1.3984375,-5.675247e-09
1.3994140625,-5.675247e-09
1.400390625,-1.076842e-08
1.4013671875,-5.675247e-09
1.40234375,-6.693881e-09
1.4033203125,-6.693881e-09
1.404296875,-1.076842e-08
1.4052734375,-5.675247e-09
1.40625,-9.749783e-09
1.4072265625,-2.619345e-09
1.408203125,-1.600711e-09
1.4091796875,-5.820766e-10
1.41015625,-3.637979e-09
1.4111328125,-4.656613e-09
1.412109375,-7.712515e-09
1.4130859375,-5.675247e-09
1.4140625,-1.178705e-08
1.4150390625,-6.693881e-09
1.416015625,-7.712515e-09
1.4169921875,-5.675247e-09
1.41796875,4.365575e-10
1.4189453125,-3.637979e-09
1.419921875,-4.656613e-09
1.4208984375,-5.820766e-10
1.421875,-7.712515e-09
1.4228515625,-5.675247e-09
1.423828125,-7.712515e-09
1.4248046875,-4.656613e-09
1.42578125,-2.619345e-09
1.4267578125,-4.656613e-09
1.427734375,-4.656613e-09
1.4287109375,-2.619345e-09
1.4296875,-5.675247e-09
1.4306640625,-3.637979e-09
1.431640625,-9.749783e-09
1.4326171875,-6.693881e-09
1.43359375,-6.693881e-09
1.4345703125,-4.656613e-09
1.435546875,-2.619345e-09
1.4365234375,-5.820766e-10
1.4375,-5.820766e-10
1.4384765625,-2.619345e-09
1.439453125,-3.637979e-09
1.4404296875,-5.675247e-09
1.44140625,-3.637979e-09
1.4423828125,-9.749783e-09
1.443359375,-3.637979e-09
1.4443359375,-1.600711e-09
1.4453125,-1.600711e-09
1.4462890625,-4.656613e-09
1.447265625,-2.619345e-09
1.4482421875,-3.637979e-09
1.44921875,-3.637979e-09
1.4501953125,-9.749783e-09
1.451171875,-4.656613e-09
1.4521484375,-4.656613e-09
1.453125,-2.619345e-09
1.4541015625,-4.656613e-09
1.455078125,-1.178705e-08
1.4560546875,-5.675247e-09
1.45703125,-8.731149e-09
1.4580078125,-3.637979e-09
1.458984375,-4.656613e-09
1.4599609375,-9.749783e-09
1.4609375,-5.675247e-09
1.4619140625,-7.712515e-09
1.462890625,-5.675247e-09
1.4638671875,-4.656613e-09
1.46484375,-1.600711e-09
1.4658203125,-5.675247e-09
1.466796875,-3.637979e-09
1.4677734375,-6.693881e-09
1.46875,-4.656613e-09
1.4697265625,-5.675247e-09
1.470703125,-2.619345e-09
1.4716796875,-1.600711e-09
1.47265625,-4.656613e-09
1.4736328125,-3.637979e-09
1.474609375,-5.820766e-10
1.4755859375,-2.619345e-09
1.4765625,-1.600711e-09
1.4775390625,-5.675247e-09
1.478515625,-7.712515e-09
1.4794921875,-6.693881e-09
1.48046875,-1.600711e-09
1.4814453125,-5.675247e-09
1.482421875,-3.637979e-09
